index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
185351,Bananeiras,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
185352,Bananeiras,2020-05-08,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
185353,Bananeiras,2020-05-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
185354,Bananeiras,2020-05-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
185355,Bananeiras,2020-05-11,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
185356,Bananeiras,2020-05-12,3.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
185357,Bananeiras,2020-05-13,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
185358,Bananeiras,2020-05-14,8.0,5,0,0,1.1428571428571428,0.0,8.0,0.0
185359,Bananeiras,2020-05-15,8.0,0,0,0,1.0,0.0,7.0,0.0
185360,Bananeiras,2020-05-16,8.0,0,0,0,1.0,0.0,7.0,0.0
185361,Bananeiras,2020-05-17,8.0,0,0,0,1.0,0.0,7.0,0.0
185362,Bananeiras,2020-05-18,9.0,1,0,0,1.1428571428571428,0.0,8.0,0.0
185363,Bananeiras,2020-05-19,11.0,2,0,0,1.1428571428571428,0.0,8.0,0.0
185364,Bananeiras,2020-05-20,14.0,3,0,0,1.5714285714285714,0.0,11.0,0.0
185365,Bananeiras,2020-05-21,14.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
185366,Bananeiras,2020-05-22,14.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
185367,Bananeiras,2020-05-23,15.0,1,0,0,1.0,0.0,7.0,0.0
185368,Bananeiras,2020-05-24,15.0,0,0,0,1.0,0.0,7.0,0.0
185369,Bananeiras,2020-05-25,15.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
185370,Bananeiras,2020-05-26,16.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
185371,Bananeiras,2020-05-27,16.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
185372,Bananeiras,2020-05-28,16.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
185373,Bananeiras,2020-05-29,17.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
185374,Bananeiras,2020-05-30,22.0,5,0,0,1.0,0.0,7.0,0.0
185375,Bananeiras,2020-05-31,26.0,4,0,0,1.5714285714285714,0.0,11.0,0.0
185376,Bananeiras,2020-06-01,26.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
185377,Bananeiras,2020-06-02,26.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
185378,Bananeiras,2020-06-03,31.0,5,0,0,2.142857142857143,0.0,15.0,0.0
185379,Bananeiras,2020-06-04,36.0,5,0,0,2.857142857142857,0.0,20.0,0.0
185380,Bananeiras,2020-06-05,38.0,2,0,0,3.0,0.0,21.0,0.0
185381,Bananeiras,2020-06-06,38.0,0,0,0,2.2857142857142856,0.0,16.0,0.0
185382,Bananeiras,2020-06-07,39.0,1,0,0,1.8571428571428572,0.0,13.0,0.0
185383,Bananeiras,2020-06-08,39.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
185384,Bananeiras,2020-06-09,42.0,3,0,0,2.2857142857142856,0.0,16.0,0.0
185385,Bananeiras,2020-06-10,44.0,2,0,0,1.8571428571428572,0.0,13.0,0.0
185386,Bananeiras,2020-06-11,47.0,3,0,0,1.5714285714285714,0.0,11.0,0.0
185387,Bananeiras,2020-06-12,48.0,1,0,0,1.4285714285714286,0.0,10.0,0.0
185388,Bananeiras,2020-06-13,48.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
