municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
Pilões,2020-01-04,0,0,0,0,5.142857142857143,0.0,36.0,0.0
Pilões,2020-01-05,0,0,0,0,5.142857142857143,0.0,36.0,0.0
Pilões,2020-01-06,14,-1,0,0,4.571428571428571,0.0,32.0,0.0
Pilões,2020-01-07,55,4,0,0,5.0,0.0,35.0,0.0
Pilões,2020-01-08,112,1,1,1,3.5714285714285716,0.14285714285714285,25.0,1.0
Pilões,2020-01-09,156,1,2,0,0.7142857142857143,0.14285714285714285,5.0,1.0
Pilões,2020-01-10,187,2,2,0,1.0,0.14285714285714285,7.0,1.0
Pilões,2020-01-11,216,5,2,0,1.7142857142857142,0.14285714285714285,12.0,1.0
Pilões,2020-01-12,260,0,3,0,1.7142857142857142,0.14285714285714285,12.0,1.0
Pilões,2020-02-04,0,0,0,0,1.8571428571428572,0.14285714285714285,13.0,1.0
Pilões,2020-02-05,1,1,0,0,1.4285714285714286,0.14285714285714285,10.0,1.0
Pilões,2020-02-06,16,2,0,0,1.5714285714285714,0.0,11.0,0.0
Pilões,2020-02-07,55,0,0,0,1.4285714285714286,0.0,10.0,0.0
Pilões,2020-02-08,112,0,1,0,1.1428571428571428,0.0,8.0,0.0
Pilões,2020-02-09,156,0,2,0,0.42857142857142855,0.0,3.0,0.0
Pilões,2020-02-10,189,2,2,0,0.7142857142857143,0.0,5.0,0.0
Pilões,2020-02-11,216,0,2,0,0.7142857142857143,0.0,5.0,0.0
Pilões,2020-02-12,260,0,3,0,0.5714285714285714,0.0,4.0,0.0
Pilões,2020-03-04,0,0,0,0,0.2857142857142857,0.0,2.0,0.0
Pilões,2020-03-05,1,0,0,0,0.2857142857142857,0.0,2.0,0.0
Pilões,2020-03-06,17,1,0,0,0.42857142857142855,0.0,3.0,0.0
Pilões,2020-03-07,55,0,0,0,0.42857142857142855,0.0,3.0,0.0
Pilões,2020-03-08,112,0,1,0,0.14285714285714285,0.0,1.0,0.0
Pilões,2020-03-09,156,0,2,0,0.14285714285714285,0.0,1.0,0.0
Pilões,2020-03-10,189,0,2,0,0.14285714285714285,0.0,1.0,0.0
Pilões,2020-03-11,216,0,2,0,0.14285714285714285,0.0,1.0,0.0
Pilões,2020-03-12,259,-1,3,0,0.0,0.0,0.0,0.0
Pilões,2020-03-27,0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
Pilões,2020-03-28,0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
Pilões,2020-03-29,0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
Pilões,2020-03-30,0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
Pilões,2020-03-31,0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
Pilões,2020-04-04,0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
Pilões,2020-04-05,1,0,0,0,0.0,0.0,0.0,0.0
Pilões,2020-04-06,19,2,0,0,0.2857142857142857,0.0,2.0,0.0
Pilões,2020-04-07,56,1,0,0,0.42857142857142855,0.0,3.0,0.0
Pilões,2020-04-08,112,0,1,0,0.42857142857142855,0.0,3.0,0.0
Pilões,2020-04-09,158,2,2,0,0.7142857142857143,0.0,5.0,0.0
Pilões,2020-04-10,191,2,2,0,1.0,0.0,7.0,0.0
Pilões,2020-04-11,216,0,2,0,1.0,0.0,7.0,0.0
Pilões,2020-04-12,259,0,3,0,1.0,0.0,7.0,0.0
Pilões,2020-04-13,0,0,0,0,0.7142857142857143,0.0,5.0,0.0
Pilões,2020-04-14,0,0,0,0,0.5714285714285714,0.0,4.0,0.0
Pilões,2020-04-15,0,0,0,0,0.5714285714285714,0.0,4.0,0.0
Pilões,2020-04-16,0,0,0,0,0.2857142857142857,0.0,2.0,0.0
Pilões,2020-04-17,0,0,0,0,0.0,0.0,0.0,0.0
Pilões,2020-04-18,0,0,0,0,0.0,0.0,0.0,0.0
Pilões,2020-04-19,0,0,0,0,0.0,0.0,0.0,0.0
Pilões,2020-04-20,0,0,0,0,0.0,0.0,0.0,0.0
